"[ 0.02851722 -0.09867951  0.18935537  0.12085227 -0.0821388  -0.22950202
  0.0060451  -0.0682264   0.05308613 -0.0972112   0.0142576  -0.06012499
 -0.02077157  0.06619473 -0.2001406   0.05462724  0.00680102  0.17571503
  0.00651017 -0.02704751 -0.02753072 -0.03890861 -0.13054362  0.04868418
 -0.11246088  0.05574162  0.051986    0.0270064   0.01025027 -0.02781726
 -0.07200298 -0.07609131 -0.00972427  0.02220552  0.02084313  0.04037701
 -0.11773829 -0.08293965 -0.00033617 -0.01944288 -0.00502244 -0.03886506
  0.08623982  0.00592503  0.0417406  -0.03843003  0.10702693 -0.06979888
 -0.03843219  0.01112814]","[1, 0, 0, 0]"
"[-0.05181715  0.0194774   0.00505108  0.01351647  0.03199684  0.02958179
 -0.08039617  0.06074738  0.03100545 -0.02118112 -0.01470079  0.01040017
 -0.04063499  0.0367321   0.04271624 -0.08770301 -0.04117937 -0.0527886
 -0.05470262  0.10413972  0.01721777  0.10913978  0.00269052  0.02138406
 -0.00115869 -0.03702558  0.02466935 -0.10890679 -0.09977443  0.01396443
 -0.12593299 -0.08752567  0.02340829 -0.08820884  0.02988324  0.03750554
  0.01906247 -0.03713433 -0.035261   -0.04367785  0.03044023  0.09197201
 -0.03597886 -0.0969171   0.03332316 -0.02960205 -0.01094635 -0.06671474
 -0.04077426  0.04113581]","[1, 0, 0, 0]"
"[-0.0572065   0.04143206  0.01833358  0.02697697 -0.08248858  0.04338555
  0.04513218  0.06086901  0.01745537 -0.03015588 -0.00475211 -0.03225951
 -0.09685856  0.04794421 -0.0585605  -0.00567271  0.00760961 -0.00506077
  0.06008046  0.08244219 -0.10842537  0.02706146  0.01272722 -0.01629794
 -0.03417233  0.01240522  0.0962272   0.08424637 -0.02960706  0.04370386
 -0.09723349 -0.04096334  0.00676672  0.20447598  0.01787095 -0.00088566
  0.03540278 -0.02403264 -0.02072407 -0.0466291   0.01477176 -0.01879178
  0.02604731 -0.13994966  0.17505236  0.00398157 -0.01631047  0.04789306
  0.01722732 -0.03999466]","[1, 0, 0, 0]"
"[-0.0574773   0.02335745 -0.00047361 -0.07286443  0.01347978  0.04170213
  0.01586967  0.13921677 -0.06961679 -0.11940895 -0.08647664 -0.17922627
 -0.08379984  0.03703496 -0.07661226 -0.16006767  0.01986063  0.00785797
 -0.22429009  0.10412758 -0.06577651  0.14566203 -0.05377189 -0.09463065
 -0.02300373 -0.03351049  0.01491924  0.00026825  0.03690481 -0.06372573
 -0.16784482 -0.05007849  0.00374137 -0.02621804  0.05902112  0.16677529
  0.09044617 -0.01891156  0.00937316  0.11295216  0.00514823  0.0210057
  0.04847151 -0.05831937  0.10584405 -0.0645848   0.01376762 -0.07408723
 -0.04977779 -0.06945212]","[1, 0, 0, 0]"
"[ 0.16385791  0.07845433 -0.00789679  0.15591697 -0.15605677 -0.08334706
 -0.0116423  -0.10206695  0.19142752 -0.0355442   0.01332566 -0.07680351
  0.06007412  0.16109482  0.00506781  0.04080458  0.01780268  0.07565328
 -0.13877155  0.09804823 -0.04015115  0.03766597 -0.07068357  0.0734712
  0.01451094  0.22313541  0.01944213  0.08205932 -0.0211219   0.09845623
 -0.1943326  -0.00315816  0.0314236   0.1879627   0.0675671   0.02987022
 -0.06062287 -0.10236903 -0.08732709  0.00840621 -0.16312848  0.00494975
  0.21355415 -0.09292866  0.00031623 -0.04647904  0.07928563 -0.18736361
  0.16127742 -0.12875825]","[0, 0, 0, 1]"
"[-0.08521328  0.08333468  0.11661503  0.08836105  0.01407089  0.05664759
 -0.06687362 -0.04769697  0.08228845  0.17740129  0.04698305 -0.0401494
  0.00804636  0.0766821   0.18645577 -0.00679365  0.09397328  0.06100893
 -0.02080539  0.00581143  0.08260374 -0.09817762 -0.0208843   0.06729835
  0.03670493  0.04521628 -0.24550894 -0.01391571 -0.01859501 -0.06225703
 -0.24503586  0.00956786 -0.03246137 -0.02711311 -0.04403509  0.01551563
  0.04905036  0.0982242  -0.19276117 -0.14646803  0.06697897 -0.0339361
 -0.08684871 -0.08164056 -0.15147605 -0.07117    -0.02002377 -0.00270003
 -0.00675582 -0.03408029]","[1, 0, 0, 0]"
"[ 0.03252354  0.08632573  0.01039258 -0.03479261  0.04937386  0.11911099
 -0.00680604  0.08730169 -0.03804768  0.0475315  -0.01965647  0.1047188
 -0.00853481 -0.08670703  0.09773012  0.04622864 -0.03201531 -0.06902391
  0.03292201  0.0789563  -0.01214437  0.12865789 -0.0094076  -0.0086659
  0.03400407 -0.08618075 -0.00243973 -0.1011683   0.05618107 -0.04925246
 -0.17959379  0.10671198 -0.04761399  0.03825755  0.03531349 -0.04054615
 -0.01287029 -0.02277313  0.0978521  -0.09818344  0.00996628  0.05900698
  0.04333482 -0.06550732  0.07782397  0.00115223 -0.03855642 -0.11576036
  0.02414815  0.10585607]","[1, 0, 0, 0]"
"[-0.02041234 -0.11934939  0.16994645  0.00890938  0.01643988 -0.02680074
  0.03226985  0.10421341  0.00693055 -0.0289187  -0.05861222 -0.00263651
 -0.09653815  0.01100109 -0.01512345 -0.0058082  -0.025168   -0.06703707
  0.00537624  0.06736704 -0.0003711   0.05770294  0.07957732 -0.02809247
 -0.10177868 -0.06353927  0.12949435 -0.13030314 -0.02595224  0.0093665
 -0.14474389  0.02638337 -0.10767465 -0.0062474   0.03947039  0.0123283
 -0.04091511 -0.06837621 -0.10457603 -0.10359621 -0.01037177  0.05621777
 -0.06059699 -0.02544915  0.02331334 -0.07702573 -0.00357996 -0.04948511
 -0.08392695  0.01640984]","[1, 0, 0, 0]"
"[ 0.13558271  0.06503978 -0.05479062  0.04105853 -0.00264732  0.06014923
 -0.04087551 -0.09403596  0.0898259  -0.01664216  0.00782386  0.08083059
  0.06902906  0.13036711  0.03531324  0.00330105  0.0145232   0.0490871
 -0.139294    0.03250601 -0.05582998 -0.02387585  0.06146541 -0.03335363
  0.01110461  0.10426446 -0.06648423  0.08063781  0.01819726  0.00885286
 -0.10876674 -0.02100111 -0.00208036  0.11229487 -0.04714171  0.08064437
 -0.00873599  0.00850735 -0.00850724 -0.10298821 -0.01931803  0.02406044
 -0.02246933 -0.01498109  0.07389695 -0.0399936   0.05154331 -0.20050689
  0.03375    -0.01614668]","[1, 0, 0, 0]"
"[ 0.11627015 -0.05774381  0.11087284  0.04421895 -0.07674803 -0.09249777
  0.11308659  0.05942092  0.15371985  0.00284123  0.05162974 -0.034305
 -0.01639013  0.0705387  -0.01257445  0.01502593 -0.01461114 -0.03207009
  0.00680108  0.04632218  0.01826447  0.02152281 -0.03519545 -0.07237559
 -0.05643517 -0.00338693  0.18205219  0.03740521  0.09188645  0.17130137
 -0.21706465  0.01373212 -0.0852837   0.02294656 -0.00100259  0.00516279
 -0.04068214 -0.11915429 -0.19625224  0.10413561  0.04539271  0.02746707
  0.22486764 -0.14133444  0.05502739  0.09714346 -0.05709499  0.32160732
 -0.07478699 -0.16039048]","[1, 0, 0, 0]"
"[ 0.04848194 -0.00954124 -0.02291248  0.08296407 -0.00633395  0.06376902
  0.07314573  0.0284386   0.07278958  0.01323251  0.00133032  0.02058925
  0.02713144 -0.0281974  -0.00260222 -0.05632103 -0.03325632 -0.05468828
 -0.03545404 -0.06593717  0.06632211 -0.01562002  0.0147875  -0.03999781
 -0.04989779  0.00813891 -0.04316156  0.01269029 -0.01077763  0.06638338
 -0.08128402 -0.07600699  0.01613651 -0.11757337  0.0735183  -0.00294081
 -0.06155809 -0.06629462 -0.04984201 -0.03089466  0.01173224  0.0257654
  0.08481064 -0.02619938 -0.02109434 -0.04150547  0.03084924  0.09279553
  0.08880491 -0.08757483]","[0, 1, 0, 0]"
"[-0.02165408  0.015441    0.00719343 -0.03416869 -0.00269136 -0.03945322
  0.01885755  0.0574749  -0.07837083  0.0289191  -0.00109038  0.01765858
 -0.0765047   0.0831955   0.06911041  0.0036181  -0.05228164 -0.05296984
  0.05942101  0.05677734 -0.0029121   0.03286737 -0.0284499  -0.05713705
  0.02840955 -0.08836691 -0.04830859 -0.02623652  0.050784    0.05497212
 -0.06368505  0.02380722 -0.09919676 -0.04726244 -0.06544958 -0.00962788
  0.07091333  0.03121874 -0.09442514  0.00874086 -0.0176145   0.01025504
 -0.02171774 -0.04904198  0.02334663 -0.00668717 -0.062434    0.10461619
 -0.00906441  0.07796709]","[1, 0, 0, 0]"
"[-0.10558659 -0.04212559  0.02861717  0.07796781 -0.07550425  0.06120529
 -0.00975152  0.02136747  0.02829233  0.15886308 -0.0365083  -0.03134714
 -0.03229931  0.0599236   0.02809436 -0.09545269 -0.06933149 -0.01984967
 -0.07459332 -0.01686308  0.06546248  0.12686306  0.10673057 -0.01097815
  0.00834143  0.08785102 -0.04482754  0.02255845  0.05741968 -0.12625542
 -0.11417728 -0.08863957  0.07275318 -0.06342447  0.07493869  0.09281189
  0.05889427 -0.04203792 -0.01492214  0.01640921  0.06557384  0.06048638
 -0.05581222 -0.01221969  0.05026374 -0.05006585  0.08256051  0.04478158
 -0.03510409  0.01820572]","[0, 1, 0, 0]"
